surface	door	site	command	miss	hit	hit_empty	observable	signal	echoes	fixture	signal_source	reason
cli	--baseline	whole-value	*	nosuch-baseline.json	baseline.json	none		refusal	yes		dictionary	hit_empty=none: a baseline that exists and accepts nothing is a different question from a baseline that is not there
cli	--cache-dir	whole-value	*	/nonexistent-root/cache	qmx-cache	none	dir:qmx-cache	refusal	yes		cure:989e8f22	hit_empty=none: the cache directory is a write target, not a selector, so it has no empty hit
cli	--channel	whole-value	*	nosuch.rule#nosuch-code	complexity.ccn	none		refusal	yes		dictionary	hit_empty=none: a channel with no accepted entry is reported the same way as one with entries, so the empty hit is not distinguishable here
cli	--class	whole-value	*	Fixture\NoSuch\Ghost	Fixture\Alpha\AlphaService	Fixture\Silent\SilentOne		refusal	yes		cure:f8a1065d	
cli	--config	whole-value	*	nosuch.yaml	qmx.yaml	none		refusal	yes		dictionary	hit_empty=none: an empty configuration document is a hit that changes nothing, not an empty selection
cli	--direction	whole-value	*	sideways	TB	none		refusal	yes		dictionary	hit_empty=none: the direction is an enumeration, not a selector over the analysed code
cli	--disable-rule	whole-value	*	nosuch.rule	complexity.ccn	none		refusal	yes		dictionary	hit_empty=none: disabling a rule that produced nothing is indistinguishable from disabling nothing
cli	--exclude-health	whole-value	*	NoSuchDir	Beta	none		none	yes		none	on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
cli	--exclude-namespace	whole-value	*	Fixture\NoSuch	Fixture\Beta	none		none	yes		none	the cure kept this door silent deliberately (f8a1065d: a missed exclusion leaves the picture whole); on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
cli	--exclude	whole-value	*	NoSuchDir	Beta	none		none	yes		none	on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
cli	--fail-on	whole-value	*	zzz	error	none	exitcode	refusal	yes		dictionary	hit_empty=none: the severity is an enumeration, not a selector
cli	--format-opt	pair-key	*	nosuchkey=1	top=3	none	format:summary	refusal	no		cure:f8a1065d	hit_empty=none: an option key is not a selector over the code; and the format invariant is withdrawn here, so the observable is the default header
cli	--format	whole-value	*	nosuchformat	json	none	stdout	refusal	yes		dictionary	hit_empty=none: the format name is an enumeration, not a selector
cli	--group-by	whole-value	*	zzz	file	none		refusal	yes		dictionary	hit_empty=none: the grouping key is an enumeration, not a selector
cli	--group	whole-value	*	nosuchgroup	complexity	none		refusal	yes		dictionary	hit_empty=none: the rule group is looked up in a closed registry, so an existing-but-empty group does not occur
cli	--log-file	whole-value	*	/nonexistent-root/run.log	run.log	none	file:run.log	refusal	yes		dictionary	hit_empty=none: the log file is a write target, not a selector
cli	--log-level	whole-value	*	zzz	error	none		refusal	yes		cure:989e8f22	hit_empty=none: the level is an enumeration, not a selector
cli	--memory-limit	whole-value	*	zzz	512M	none		refusal	yes		observation	hit_empty=none: a PHP size string is not a selector; signal read from the measurement in 01-oracle-packages-measurements.md §19.7
cli	--mode	whole-value	*	zzz	ratchet	none		refusal	yes		dictionary	hit_empty=none: the mode is an enumeration, not a selector
cli	--namespace	whole-value	*	Fixture\NoSuch	Fixture\Alpha	Fixture\Silent		refusal	yes		cure:f8a1065d	
cli	--namespace	whole-value	graph:export	Fixture\NoSuch	Fixture\Alpha	none	stdout	refusal	yes		cure:f8a1065d	graph:export publishes a graph, not findings: the miss is judged on the exported document and the empty hit of a findings report does not exist there
cli	--only-rule	whole-value	*	nosuch.rule	complexity.ccn	none		refusal	yes		dictionary	hit_empty=none: a rule that is enabled and produced nothing reads like a rule that selected nothing
cli	--output	whole-value	*	/nonexistent-root/report.json	report.json	none	file:report.json	refusal	yes		dictionary	hit_empty=none: the output path is a write target, not a selector
cli	--preset	whole-value	*	nosuchpreset	strict	none		refusal	yes		dictionary	hit_empty=none: the preset name is looked up in a closed registry
cli	--profile-format	whole-value	*	zzz	text	none		refusal	no		dictionary	hit_empty=none: the profile format is an enumeration, not a selector
cli	--profile	whole-value	*	zzz	text	none		refusal	yes		dictionary	hit_empty=none: the profile target is an enumeration, not a selector
cli	--remove	whole-value	*	ffffffffffff	9180f8f882bd	none		stdout:~No entry with selector~	yes		observation	hit_empty=none: a selector that names an entry always removes it; the fixture baseline carries one deliberately stale entry so a hit exists at all. The signal is read from the measured stdout of baseline:cleanup
cli	--report	ref-and-scheme	*	git:nosuchref..HEAD	git:HEAD~1..HEAD	none		refusal	no	git	dictionary	hit_empty=none: a revision that exists always denotes a range, so the empty case is the other site of this door
cli	--report	empty-range	*	git:HEAD..HEAD	git:HEAD~1..HEAD	none		none	yes	git	none	the measurement calls this site silent; hit_empty=none because the empty range is itself the miss being measured
cli	--rule-opt	rule-option-name	*	nosuch.rule:threshold=5	complexity.ccn:threshold=5	none		refusal	no		dictionary	hit_empty=none: a rule option is not a selector over the code
cli	--rule-opt	missing-equals-value	*	complexity.ccn:threshold	complexity.ccn:threshold=5	none		refusal	yes		cure:989e8f22	hit_empty=none: the site is the absence of the value half, which has no empty-hit counterpart
cli	--suppress-namespace	whole-value	*	Fixture\NoSuch	Fixture\Beta	none		none	yes		none	on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
cli	--suppress-path	whole-value	*	NoSuchDir	Beta	none		none	yes		none	on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
cli	--sweep	whole-value	*	zzz	narrow	none		refusal	yes		dictionary	hit_empty=none: the sweep mode is an enumeration, not a selector
cli	--working-dir	whole-value	*	/nonexistent-root	.	none		stderr:~Invalid working directory~	yes		observation	hit_empty=none: the working directory is not a selector; the framing is Symfony's, not the product refusal ladder, so the signal is a regex rather than `refusal`
cli	baseline	whole-value	*	nosuch-dir/baseline.json	baseline.json	none		refusal	yes		dictionary	hit_empty=none: a baseline that exists and accepts nothing is a different question
cli	baseline	whole-value	baseline:generate	nosuch-dir/generated.json	generated.json	none		none	yes		none	on baseline:generate the argument is a write target rather than a referent, so nothing about it can be missed; the parent directory is the only referent and it is not this site
cli	command	whole-value	*	nosuchcommand	list	none		stderr:~is not defined~	yes		observation	hit_empty=none: a command name is not a selector; the framing is Symfony's own, so the signal is a regex
cli	command_name	whole-value	*	nosuchcommand	check	none		stderr:~is not defined~	yes		observation	hit_empty=none: a command name is not a selector; the framing is Symfony's own
cli	fqn	whole-value	*	Layered\NoSuch\Ghost	Layered\Domain\Order	none		refusal	yes	layers	cure:f8a1065d	hit_empty=none: a class analysed but outside every layer is a hit with an answer, not an empty one
cli	map	map-file	*	nosuch-map.txt	map.txt	none		refusal	yes		dictionary	hit_empty=none: a map file that exists and renames nothing is the other site of this door
cli	map	map-row	*	map-unmatched.txt	map.txt	none		stdout:~matched no entry~	no		observation	hit_empty=none: the unmatched row is itself the empty case. The signal is read from the measured stdout of baseline:rename-channels; echoes=no because the map is submitted as a file name, not as the row it carries
cli	namespace	whole-value	*	nosuchnamespace	baseline	none		none	yes		none	Symfony's own list command; its framing is not the product's refusal ladder and the round does not cure it, so no signal is claimed. hit_empty=none for the same reason
cli	paths	whole-value	*	nosuch-dir	src	none		refusal	yes		dictionary	hit_empty=none: an analysed path that yields no finding is a legitimate hit of the report, not of the path door
cli	shell	whole-value	*	nosuchshell	bash	none		none	yes		none	Symfony's own completion command; the round claims no signal there. hit_empty=none for the same reason
cli	subject	whole-value	*	declaration:callable:Fixture\NoSuch\Ghost::x@src/Ghost.php	declaration:callable:Fixture\Alpha\AlphaService::branch@src/Alpha/AlphaService.php	none		refusal	yes		dictionary	hit_empty=none: a subject with no accepted entry is answered, not empty
config	architecture	unknown-subkey	*	{architecture: {coverage-gap: ignore, nosuchkey: 1, allow: {domain: [infra]}, layers: [{name: domain, patterns: ['Layered\Domain\*']}, {name: infra, patterns: ['Layered\Infra\*']}]}}	{architecture: {coverage-gap: ignore, allow: {domain: [infra]}, layers: [{name: domain, patterns: ['Layered\Domain\*']}, {name: infra, patterns: ['Layered\Infra\*']}]}}	none		refusal	no	layers	dictionary	hit_empty=none: an unknown key has no empty-hit counterpart
config	architecture	layer-patterns	*	{architecture: {coverage-gap: ignore, allow: {domain: [infra]}, layers: [{name: domain, patterns: ['Layered\Ghost\*']}, {name: infra, patterns: ['Layered\Infra\*']}]}}	{architecture: {coverage-gap: ignore, allow: {domain: [infra]}, layers: [{name: domain, patterns: ['Layered\Domain\*']}, {name: infra, patterns: ['Layered\Infra\*']}]}}	none		none	no	layers	none	the diagnostic publishes as a finding and only `check` renders findings; the finding form is declared in the per-command override for check. hit_empty=none: a layer whose pattern matches nothing is itself the miss
config	architecture	layer-patterns	check	{architecture: {coverage-gap: ignore, allow: {domain: [infra]}, layers: [{name: domain, patterns: ['Layered\Ghost\*']}, {name: infra, patterns: ['Layered\Infra\*']}]}}	{architecture: {coverage-gap: ignore, allow: {domain: [infra]}, layers: [{name: domain, patterns: ['Layered\Domain\*']}, {name: infra, patterns: ['Layered\Infra\*']}]}}	none	format:json	finding:architecture.unreachable-layer@json	no	layers	observation	only check renders findings, so the finding form of the signal is declared on that command alone. hit_empty=none: a layer whose pattern matches nothing is the miss itself
config	architecture	layer-exclude-patterns	*	{architecture: {coverage-gap: ignore, allow: {domain: [infra]}, layers: [{name: domain, patterns: ['Layered\Domain\*'], exclude: {patterns: ['Layered\Domain\Ghost']}}, {name: infra, patterns: ['Layered\Infra\*']}]}}	{architecture: {coverage-gap: ignore, allow: {domain: [infra]}, layers: [{name: domain, patterns: ['Layered\Domain\*'], exclude: {patterns: ['Layered\Domain\Order']}}, {name: infra, patterns: ['Layered\Infra\*']}]}}	none		none	no	layers	none	as for layer-patterns, the diagnostic is a finding and only check renders findings. on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
config	architecture	layer-exclude-patterns	check	{architecture: {coverage-gap: ignore, allow: {domain: [infra]}, layers: [{name: domain, patterns: ['Layered\Domain\*'], exclude: {patterns: ['Layered\Domain\Ghost']}}, {name: infra, patterns: ['Layered\Infra\*']}]}}	{architecture: {coverage-gap: ignore, allow: {domain: [infra]}, layers: [{name: domain, patterns: ['Layered\Domain\*'], exclude: {patterns: ['Layered\Domain\Order']}}, {name: infra, patterns: ['Layered\Infra\*']}]}}	none	format:json	finding:architecture.unmatched-exclude@json	no	layers	cure:P8	the P8 cure publishes an inert exclude clause as a finding rather than a refusal, and only check renders findings. on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
config	cache.dir	whole-value	*	{cache: {dir: '/nonexistent-root/cache'}}	{cache: {dir: 'qmx-cache'}}	none	dir:qmx-cache	refusal	no		cure:989e8f22	hit_empty=none: the cache directory is a write target, not a selector
config	computedMetrics	whole-value	*	{computedMetrics: {computed.my-score: {formula: 'm["complexity.ccn.avg"] * 2', nosuchoption: 1}}}	{computedMetrics: {computed.my-score: {formula: 'm["complexity.ccn.avg"] * 2'}}}	none		refusal	no		dictionary	hit_empty=none: a formula that evaluates to nothing still reports a value; the miss is an option key the metric does not declare, which is the site the measurement calls refusing. References inside the formula are a site of their own that the round leaves out (01-oracle.md §1)
config	coupling.frameworkNamespaces	whole-value	*	{coupling: {frameworkNamespaces: ['Nosuch\Framework']}}	{coupling: {frameworkNamespaces: ['Fixture\Beta']}}	none		none	no		none	measured unobservable on the default observable of every command but check; the check row carries the override. on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
config	coupling.frameworkNamespaces	whole-value	check	{coupling: {frameworkNamespaces: ['Nosuch\Framework']}}	{coupling: {frameworkNamespaces: ['Fixture\Beta']}}	none	format:metrics	none	no		none	the measurement showed this door invisible on findings and visible only in the metrics document, so the observable is overridden here rather than the fixture changed. on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
config	disabledRules	whole-value	*	{disabledRules: [coupling.class-rank, coupling.distance, nosuch.rule]}	{disabledRules: [coupling.class-rank, coupling.distance, complexity.ccn]}	none		refusal	no		dictionary	hit_empty=none: disabling a rule that produced nothing reads like disabling nothing. The snippet restates the fixture's own two entries because a top-level key is replaced, not merged
config	exclude	whole-value	*	{exclude: [NoSuchDir]}	{exclude: [Beta]}	none		none	no		none	on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
config	excludeHealth	whole-value	*	{excludeHealth: [NoSuchDir]}	{excludeHealth: [Beta]}	none		none	no		none	on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
config	failOn	whole-value	*	{failOn: zzz}	{failOn: error}	none		refusal	no		dictionary	hit_empty=none: the severity is an enumeration, not a selector
